mjd	heii_centre_b	heii_centre_b_err	heii_flux	heii_flux_err	heii_width	heii_width_err	hb_centre_b	hb_centre_b_err	hb_flux	hb_flux_err	hb_width	hb_width_err	hb_centre_n	hb_centre_n_err
52961	4878.21000	2.39000	19.12000	2.19000	28.07000	2.80000	5040.26000	0.51000	89.35000	4.14000	16.27000	0.64000	5032.21000	0.03000
52975	4872.73000	1.74000	25.65000	2.03000	29.31000	2.03000	5038.91000	0.39000	110.57000	3.96000	14.97000	0.47000	5031.97000	0.03000
52988	4873.81000	9.15000	31.08000	13.23000	43.79000	12.75000	5037.80000	0.49000	97.56000	4.73000	13.67000	0.58000	5031.99000	0.04000
52997	4869.03000	1.59000	24.95000	1.85000	26.71000	1.80000	5038.53000	0.30000	137.97000	3.78000	14.26000	0.35000	5032.59000	0.04000
53001	4866.63000	2.22000	24.98000	2.39000	31.90000	2.63000	5037.66000	0.26000	154.69000	3.75000	14.07000	0.31000	5032.04000	0.03000
53005	4866.26000	2.19000	18.02000	1.99000	22.97000	2.41000	5037.25000	0.26000	151.16000	3.67000	14.52000	0.31000	5031.76000	0.03000
53016	4873.31000	4.87000	7.33000	2.00000	20.45000	5.38000	5037.53000	0.30000	138.93000	3.96000	14.74000	0.37000	5031.60000	0.03000
53019	4872.98000	2.30000	14.23000	1.63000	24.12000	2.56000	5036.64000	0.25000	142.73000	3.32000	14.01000	0.30000	5031.56000	0.03000
53021	4873.52000	2.47000	24.07000	2.65000	27.64000	2.92000	5037.42000	0.29000	131.99000	3.65000	14.42000	0.35000	5031.96000	0.03000
53047	4869.94000	2.43000	21.10000	2.46000	25.40000	2.73000	5037.78000	0.27000	167.45000	4.19000	14.53000	0.33000	5032.55000	0.03000
53049	4868.07000	2.76000	27.03000	3.22000	33.32000	3.34000	5037.27000	0.27000	172.79000	4.40000	14.44000	0.33000	5031.99000	0.03000
53064	4863.65000	1.69000	36.67000	2.67000	30.19000	1.94000	5037.30000	0.26000	163.58000	4.02000	13.79000	0.31000	5032.43000	0.03000
53076	4872.53000	1.81000	51.23000	4.11000	36.02000	2.29000	5037.68000	0.26000	176.83000	4.28000	14.19000	0.31000	5032.54000	0.03000
53082	4875.10000	1.62000	55.75000	4.10000	34.39000	2.02000	5038.40000	0.26000	187.75000	4.60000	13.96000	0.31000	5033.32000	0.03000
53092	4867.15000	1.60000	68.54000	4.65000	33.87000	1.93000	5036.50000	0.23000	205.85000	4.54000	13.92000	0.28000	5031.84000	0.03000
53108	4864.93000	1.13000	77.29000	3.71000	31.98000	1.33000	5036.35000	0.20000	228.72000	4.52000	13.50000	0.24000	5031.84000	0.03000
53112	4864.81000	1.50000	73.14000	4.78000	30.01000	1.73000	5037.10000	0.23000	225.99000	5.08000	13.63000	0.27000	5032.68000	0.03000
53122	4865.04000	1.37000	63.65000	3.76000	30.73000	1.59000	5036.72000	0.20000	244.89000	4.79000	13.68000	0.24000	5032.34000	0.03000
53137	4861.77000	1.25000	41.39000	2.25000	29.10000	1.43000	5036.34000	0.18000	243.24000	4.18000	13.02000	0.21000	5032.10000	0.04000
53741	4866.50000	0.81000	56.69000	2.07000	29.77000	0.95000	5037.24000	0.21000	270.74000	6.04000	14.45000	0.27000	5032.43000	0.03000
54116	4865.31000	2.23000	84.50000	8.05000	31.56000	2.62000	5035.24000	0.24000	361.66000	8.52000	13.24000	0.28000	5031.96000	0.05000
54122	4866.27000	1.30000	82.05000	4.72000	31.01000	1.54000	5035.80000	0.18000	327.85000	6.29000	12.81000	0.22000	5032.45000	0.03000
55179	4864.94000	1.87000	51.50000	4.35000	27.44000	2.12000	5035.87000	0.25000	269.21000	6.56000	14.90000	0.31000	5031.75000	0.04000
57539	4871.73000	0.39000	163.36000	2.80000	33.42000	0.47000	5034.70000	0.20000	351.53000	7.01000	13.29000	0.24000	5032.39000	0.04000
57801	4865.75000	0.62000	73.36000	1.96000	31.64000	0.73000	5034.20000	0.18000	301.15000	5.16000	13.23000	0.21000	5032.01000	0.04000
58430	4872.15000	1.33000	62.51000	3.68000	34.21000	1.65000	5034.81000	0.31000	183.74000	5.66000	13.10000	0.37000	5031.69000	0.04000
58431	4872.43000	2.16000	62.50000	6.05000	34.95000	2.72000	5033.82000	0.32000	177.28000	5.77000	13.14000	0.38000	5030.97000	0.04000
58432	4869.54000	1.80000	58.08000	4.52000	34.65000	2.22000	5034.87000	0.32000	176.35000	5.66000	13.35000	0.39000	5031.46000	0.04000
58433	4870.56000	1.51000	56.88000	3.78000	32.59000	1.82000	5034.67000	0.30000	183.91000	5.39000	13.29000	0.35000	5031.36000	0.04000
58463	4862.30000	1.74000	58.93000	4.37000	30.80000	2.02000	5033.76000	0.26000	215.86000	5.70000	12.97000	0.31000	5031.30000	0.04000
58521	4860.64000	1.43000	49.65000	3.11000	28.31000	1.62000	5033.74000	0.22000	226.54000	5.12000	12.66000	0.26000	5031.66000	0.04000
58555	4861.56000	3.92000	47.87000	8.13000	29.46000	4.50000	5034.46000	0.29000	219.69000	6.51000	12.50000	0.34000	5032.08000	0.05000
